id	name	country_id	province_id	district_id	ed_id	pd_id	centroid
EC-01A	Colombo North	LK	LK-1	LK-11	EC-01	EC-01A	[6.962235267815707, 79.8699296689367]
EC-01B	Colombo Central	LK	LK-1	LK-11	EC-01	EC-01B	[6.935451284546601, 79.8564379567485]
EC-01C	Borella	LK	LK-1	LK-11	EC-01	EC-01C	[6.917459865860772, 79.87294894724828]
EC-01D	Colombo East	LK	LK-1	LK-11	EC-01	EC-01D	[6.8912511706985295, 79.876398995072]
EC-01E	Colombo West	LK	LK-1	LK-11	EC-01	EC-01E	[6.891531084174003, 79.85853549497743]
EC-01F	Dehiwala	LK	LK-1	LK-11	EC-01	EC-01F	[6.858393681912415, 79.87567012805216]
EC-01G	Ratmalana	LK	LK-1	LK-11	EC-01	EC-01G	[6.827079902684512, 79.87856649435398]
EC-01H	Kolonnawa	LK	LK-1	LK-11	EC-01	EC-01H	[6.934457493959718, 79.91573324628163]
EC-01I	Kotte	LK	LK-1	LK-11	EC-01	EC-01I	[6.891055973158342, 79.8987575882774]
EC-01J	Kaduwela	LK	LK-1	LK-11	EC-01	EC-01J	[6.903933799082822, 79.97746726320965]
EC-01K	Avissawella	LK	LK-1	LK-11	EC-01	EC-01K	[6.890636243981007, 80.14227721207635]
EC-01L	Homagama	LK	LK-1	LK-11	EC-01	EC-01L	[6.831512041921449, 80.02239530547858]
EC-01M	Maharagama	LK	LK-1	LK-11	EC-01	EC-01M	[6.856942341197101, 79.94263163522075]
EC-01N	Kesbewa	LK	LK-1	LK-11	EC-01	EC-01N	[6.803085589261802, 79.92870139914362]
EC-01O	Moratuwa	LK	LK-1	LK-11	EC-01	EC-01O	[6.78267335486078, 79.89109551135627]
EC-01P	Postal Votes Colombo	LK	None	None	EC-01	EC-01P	
EC-02A	Wattala	LK	LK-1	LK-12	EC-02	EC-02A	[7.035438553735121, 79.88081443892823]
EC-02B	Negombo	LK	LK-1	LK-12	EC-02	EC-02B	[7.213896536769736, 79.84518622037261]
EC-02C	Katana	LK	LK-1	LK-12	EC-02	EC-02C	[7.194278634553161, 79.88959872948007]
EC-02D	Divulapitiya	LK	LK-1	LK-12	EC-02	EC-02D	[7.254005630163283, 80.00735604336934]
EC-02E	Mirigama	LK	LK-1	LK-12	EC-02	EC-02E	[7.224957175110041, 80.1236248590756]
EC-02F	Minuwangoda	LK	LK-1	LK-12	EC-02	EC-02F	[7.154861242955468, 79.97870591376703]
EC-02G	Attanagalla	LK	LK-1	LK-12	EC-02	EC-02G	[7.114716903687236, 80.11027903125269]
EC-02H	Gampaha	LK	LK-1	LK-12	EC-02	EC-02H	[7.071002081506331, 79.99332384320522]
EC-02I	Ja Ela	LK	LK-1	LK-12	EC-02	EC-02I	[7.0716636273732885, 79.90889707653994]
EC-02J	Mahara	LK	LK-1	LK-12	EC-02	EC-02J	[7.029738837984244, 80.01592194850407]
EC-02K	Dompe	LK	LK-1	LK-12	EC-02	EC-02K	[6.99066599458956, 80.09904899523397]
EC-02L	Biyagama	LK	LK-1	LK-12	EC-02	EC-02L	[6.968969429870151, 79.97806727754276]
EC-02M	Kelaniya	LK	LK-1	LK-12	EC-02	EC-02M	[6.970305532230861, 79.91057184890954]
EC-02P	Postal Votes Gampaha	LK	None	None	EC-02	EC-02P	
EC-03A	Panadura	LK	LK-1	LK-13	EC-03	EC-03A	[6.711913767903674, 79.91993321916084]
EC-03B	Bandaragama	LK	LK-1	LK-13	EC-03	EC-03B	[6.686216831394521, 80.0043679861675]
EC-03C	Horana	LK	LK-1	LK-13	EC-03	EC-03C	[6.75958896894734, 80.09744335025105]
EC-03D	Bulathsinhala	LK	LK-1	LK-13	EC-03	EC-03D	[6.640496236487793, 80.1570850679239]
EC-03E	Mathugama	LK	LK-1	LK-13	EC-03	EC-03E	[6.525321104330918, 80.07111884740183]
EC-03F	Kalutara	LK	LK-1	LK-13	EC-03	EC-03F	[6.618520870640154, 79.97182536879565]
EC-03G	Beruwala	LK	LK-1	LK-13	EC-03	EC-03G	[6.4879788861910175, 80.00536976672002]
EC-03H	Agalawatta	LK	LK-1	LK-13	EC-03	EC-03H	[6.467120738053985, 80.23039952193002]
EC-03P	Postal Votes Kalutara	LK	None	None	EC-03	EC-03P	
EC-04A	Galagedara	LK	LK-2	LK-21	EC-04	EC-04A	[7.346301404390941, 80.49550983866006]
EC-04B	Harispattuwa	LK	LK-2	LK-21	EC-04	EC-04B	[7.372409710097934, 80.58526481720307]
EC-04C	Pathadumbara	LK	LK-2	LK-21	EC-04	EC-04C	[7.3891742071014805, 80.71381932991781]
EC-04D	Ududumbara	LK	LK-2	LK-21	EC-04	EC-04D	[7.337890326555343, 80.91066367443084]
EC-04E	Teldeniya	LK	LK-2	LK-21	EC-04	EC-04E	[7.302520045724564, 80.80049265363488]
EC-04F	Kundasale	LK	LK-2	LK-21	EC-04	EC-04F	[7.305450147556117, 80.70991682501592]
EC-04G	Hewaheta	LK	LK-2	LK-21	EC-04	EC-04G	[7.211952313222943, 80.70467562140863]
EC-04H	Senkadagala	LK	LK-2	LK-21	EC-04	EC-04H	[7.269523496414491, 80.64334774159113]
EC-04I	Mahanuwara	LK	LK-2	LK-21	EC-04	EC-04I	[7.288538770310724, 80.61886691419699]
EC-04J	Yatinuwara	LK	LK-2	LK-21	EC-04	EC-04J	[7.28244748472642, 80.53811383851321]
